,filename,rows,columns,time,clauses,total_samples,total_solutions,percent_found
0,m5_n5_s3.txt,5,5,0.006602048873901367,864,26,89,0.29213483146067415
1,m5_n5_s2.txt,5,5,0.011831045150756836,360,14,88,0.1590909090909091
2,m5_n5_s20.txt,5,5,0.007132053375244141,1020,76,358,0.2122905027932961
3,m5_n5_s1.txt,5,5,0.007248878479003906,1200,29,1600,0.018125
4,m5_n5_s5.txt,5,5,0.006515026092529297,816,9,886,0.010158013544018058
5,m5_n5_s19.txt,5,5,0.008163928985595703,1020,1,386,0.0025906735751295338
6,m5_n5_s18.txt,5,5,0.00736689567565918,1200,99,1222,0.08101472995090016
7,m5_n5_s4.txt,5,5,0.011509895324707031,880,2,230,0.008695652173913044
8,m5_n5_s6.txt,5,5,0.007064104080200195,1020,1,299,0.0033444816053511705
9,m5_n5_s7.txt,5,5,0.007860183715820312,1020,76,358,0.2122905027932961
10,m5_n5_s16.txt,5,5,0.007026910781860352,816,21,732,0.028688524590163935
11,m5_n5_s17.txt,5,5,0.010071039199829102,576,44,72,0.6111111111111112
12,m5_n5_s9.txt,5,5,0.006966114044189453,816,242,242,1.0
13,m5_n5_s15.txt,5,5,0.008061885833740234,1200,13,1810,0.0071823204419889505
14,m5_n5_s14.txt,5,5,0.005474090576171875,516,1,73,0.0136986301369863
15,m5_n5_s8.txt,5,5,0.008426904678344727,700,11,82,0.13414634146341464
16,m5_n5_s10.txt,5,5,0.007968902587890625,816,242,242,1.0
17,m5_n5_s11.txt,5,5,0.006470918655395508,692,1,104,0.009615384615384616
18,m5_n5_s13.txt,5,5,0.007426023483276367,1200,13,1810,0.0071823204419889505
19,m5_n5_s12.txt,5,5,0.007460832595825195,960,1,286,0.0034965034965034965
