filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,prefix,power_of_two
m5_n5_s10_k1_loss0.1_a0.001_b0.2.B,5,5,2,2,252,31447,0.2135753631591797,6,0
m5_n5_s10_k1_loss0.2_a0.001_b0.2.B,5,5,2,2,252,31447,0.21851110458374023,6,0
m5_n5_s10_k1_loss0.4_a0.001_b0.2.B,5,5,2,2,252,31447,0.2277991771697998,6,0
m5_n5_s1_k1_loss0.1_a0.001_b0.2.B,5,5,4,3,249,31467,0.22600674629211426,82,7
m5_n5_s1_k1_loss0.2_a0.001_b0.2.B,5,5,4,3,249,31467,0.22462773323059082,82,7
m5_n5_s1_k1_loss0.4_a0.001_b0.2.B,5,5,4,3,249,31467,0.22300291061401367,82,7
m5_n5_s2_k1_loss0.1_a0.001_b0.2.B,5,5,3,4,222,31388,0.2217402458190918,47,2
m5_n5_s2_k1_loss0.2_a0.001_b0.2.B,5,5,3,4,233,31418,0.22666430473327637,49,3
m5_n5_s2_k1_loss0.4_a0.001_b0.2.B,5,5,3,4,233,31418,0.2186887264251709,49,3
m5_n5_s3_k1_loss0.1_a0.001_b0.2.B,5,5,3,3,251,31442,0.21930480003356934,53,3
m5_n5_s3_k1_loss0.2_a0.001_b0.2.B,5,5,3,3,251,31442,0.21699762344360352,53,3
m5_n5_s3_k1_loss0.4_a0.001_b0.2.B,5,5,3,3,251,31442,0.21883487701416016,53,3
m5_n5_s4_k1_loss0.1_a0.001_b0.2.B,5,5,4,3,235,31423,0.2181532382965088,65,5
m5_n5_s4_k1_loss0.2_a0.001_b0.2.B,5,5,4,3,235,31423,0.22583770751953125,65,5
m5_n5_s4_k1_loss0.4_a0.001_b0.2.B,5,5,4,3,235,31423,0.21855592727661133,65,5
m5_n5_s5_k1_loss0.1_a0.001_b0.2.B,5,5,5,5,217,31394,0.22588396072387695,56,10
