filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,unigen_time,num_samples
m10_n10_s1_k1_loss0.1_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.135649681091309,18.65356135368347,-1
m10_n10_s1_k1_loss0.2_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.205661535263062,18.687036752700806,-1
m10_n10_s2_k1_loss0.1_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.117693901062012,38.787941217422485,108
m10_n10_s2_k1_loss0.2_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.3451406955719,39.693639278411865,107
m10_n10_s3_k1_loss0.1_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.22231411933899,64.46247506141663,108
m10_n10_s3_k1_loss0.2_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.245744943618774,55.677369832992554,108
m10_n10_s4_k1_loss0.1_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.221774816513062,18.361021518707275,-1
m10_n10_s4_k1_loss0.2_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.186233282089233,40.65776610374451,106
m10_n10_s5_k1_loss0.1_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.135674238204956,46.55810046195984,108
m10_n10_s5_k1_loss0.2_a0.001_b0.01.B,10,10,8,8,1282,1631348,9.124675273895264,46.32886600494385,108
m10_n11_s1_k1_loss0.1_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.172766208648682,25.029107093811035,-1
m10_n11_s1_k1_loss0.2_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.224067211151123,25.191810607910156,-1
m10_n11_s2_k1_loss0.1_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.095615863800049,1.6370165348052979,-1
m10_n11_s2_k1_loss0.2_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.180615901947021,1.6202688217163086,-1
m10_n11_s3_k1_loss0.1_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.22283411026001,25.681486129760742,-1
m10_n11_s3_k1_loss0.2_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.109326839447021,25.52426838874817,-1
m10_n11_s4_k1_loss0.1_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.195205450057983,54.07645893096924,104
m10_n11_s4_k1_loss0.2_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.233349561691284,25.34300136566162,-1
m10_n11_s5_k1_loss0.1_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.186177968978882,61.54840064048767,108
m10_n11_s5_k1_loss0.2_a0.001_b0.01.B,10,11,8,9,1462,1993137,11.188601970672607,61.613605260849,108
m10_n12_s1_k1_loss0.1_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.399109363555908,33.29763054847717,-1
m10_n12_s1_k1_loss0.2_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.515533208847046,33.121419191360474,-1
m10_n12_s2_k1_loss0.1_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.430524349212646,30.959635496139526,-1
m10_n12_s2_k1_loss0.2_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.504185914993286,31.106879472732544,-1
m10_n12_s3_k1_loss0.1_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.42910385131836,34.50319314002991,-1
m10_n12_s3_k1_loss0.2_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.32649564743042,35.05721855163574,-1
m10_n12_s4_k1_loss0.1_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.445947647094727,32.747180461883545,-1
m10_n12_s4_k1_loss0.2_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.4285306930542,74.12170338630676,108
m10_n12_s5_k1_loss0.1_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.416643857955933,199.82692503929138,108
m10_n12_s5_k1_loss0.2_a0.001_b0.01.B,10,12,8,10,1652,2391048,13.402459144592285,158.76642847061157,108
