filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,prefix,power_of_two
m5_n5_s10_k1_loss0.1_a0.001_b0.2.B,5,5,2,2,252,31447,0.23109960556030273,6,0
m5_n5_s10_k1_loss0.2_a0.001_b0.2.B,5,5,2,2,252,31447,0.2508668899536133,6,0
m5_n5_s10_k1_loss0.4_a0.001_b0.2.B,5,5,2,2,252,31447,0.24451255798339844,6,0
m5_n5_s1_k1_loss0.1_a0.001_b0.2.B,5,5,4,3,249,31467,0.23331570625305176,82,7
m5_n5_s1_k1_loss0.2_a0.001_b0.2.B,5,5,4,3,249,31467,0.25010204315185547,82,7
m5_n5_s1_k1_loss0.4_a0.001_b0.2.B,5,5,4,3,249,31467,0.21542954444885254,82,7
m5_n5_s2_k1_loss0.1_a0.001_b0.2.B,5,5,3,4,222,31388,0.2524440288543701,47,2
m5_n5_s2_k1_loss0.2_a0.001_b0.2.B,5,5,3,4,233,31418,0.25649333000183105,49,3
m5_n5_s2_k1_loss0.4_a0.001_b0.2.B,5,5,3,4,233,31418,0.25618481636047363,49,3
m5_n5_s3_k1_loss0.1_a0.001_b0.2.B,5,5,3,3,251,31442,0.2284553050994873,53,3
m5_n5_s3_k1_loss0.2_a0.001_b0.2.B,5,5,3,3,251,31442,0.24515867233276367,53,3
m5_n5_s3_k1_loss0.4_a0.001_b0.2.B,5,5,3,3,251,31442,0.23503589630126953,53,3
m5_n5_s4_k1_loss0.1_a0.001_b0.2.B,5,5,4,3,235,31423,0.24799180030822754,65,5
m5_n5_s4_k1_loss0.2_a0.001_b0.2.B,5,5,4,3,235,31423,0.24672245979309082,65,5
m5_n5_s4_k1_loss0.4_a0.001_b0.2.B,5,5,4,3,235,31423,0.23787999153137207,65,5
m5_n5_s5_k1_loss0.1_a0.001_b0.2.B,5,5,5,5,217,31394,0.23038697242736816,56,10
m5_n5_s5_k1_loss0.2_a0.001_b0.2.B,5,5,5,5,217,31394,0.23576593399047852,56,10
m5_n5_s5_k1_loss0.4_a0.001_b0.2.B,5,5,5,5,217,31394,0.24652910232543945,56,10
m5_n5_s6_k1_loss0.1_a0.001_b0.2.B,5,5,4,3,236,31428,0.21739578247070312,56,5
m5_n5_s6_k1_loss0.2_a0.001_b0.2.B,5,5,4,3,236,31428,0.25993847846984863,56,5
m5_n5_s6_k1_loss0.4_a0.001_b0.2.B,5,5,4,3,236,31428,0.24357080459594727,56,5
m5_n5_s7_k1_loss0.1_a0.001_b0.2.B,5,5,3,2,252,31447,0.24523591995239258,56,0
m5_n5_s7_k1_loss0.2_a0.001_b0.2.B,5,5,3,2,252,31447,0.23861312866210938,56,0
m5_n5_s7_k1_loss0.4_a0.001_b0.2.B,5,5,3,2,252,31447,0.2314469814300537,56,0
m5_n5_s8_k1_loss0.1_a0.001_b0.2.B,5,5,3,4,236,31428,0.23742198944091797,56,3
m5_n5_s8_k1_loss0.2_a0.001_b0.2.B,5,5,3,4,236,31428,0.23490428924560547,56,3
m5_n5_s8_k1_loss0.4_a0.001_b0.2.B,5,5,3,4,236,31428,0.226151704788208,56,3
m5_n5_s9_k1_loss0.1_a0.001_b0.2.B,5,5,2,2,252,31447,0.22577118873596191,6,0
m5_n5_s9_k1_loss0.2_a0.001_b0.2.B,5,5,2,2,252,31447,0.2404165267944336,6,0
m5_n5_s9_k1_loss0.4_a0.001_b0.2.B,5,5,2,2,252,31447,0.21042966842651367,6,0
m6_n5_s10_k1_loss0.1_a0.001_b0.2.B,6,5,3,3,327,61948,0.4698464870452881,63,4
m6_n5_s10_k1_loss0.2_a0.001_b0.2.B,6,5,3,3,327,61948,0.4606969356536865,63,4
m6_n5_s10_k1_loss0.4_a0.001_b0.2.B,6,5,3,3,327,61948,0.4955589771270752,63,4
m6_n5_s1_k1_loss0.1_a0.001_b0.2.B,6,5,5,5,290,61902,0.47713637351989746,45,12
m6_n5_s1_k1_loss0.2_a0.001_b0.2.B,6,5,5,5,290,61902,0.43821263313293457,45,12
m6_n5_s1_k1_loss0.4_a0.001_b0.2.B,6,5,5,5,290,61902,0.4775660037994385,45,12
m6_n5_s2_k1_loss0.1_a0.001_b0.2.B,6,5,3,3,303,61884,0.5820517539978027,90,3
m6_n5_s2_k1_loss0.2_a0.001_b0.2.B,6,5,3,3,303,61884,0.49816441535949707,90,3
m6_n5_s2_k1_loss0.4_a0.001_b0.2.B,6,5,3,3,303,61884,0.5084891319274902,90,3
m6_n5_s3_k1_loss0.1_a0.001_b0.2.B,6,5,4,3,328,61951,0.5777902603149414,58,7
m6_n5_s3_k1_loss0.2_a0.001_b0.2.B,6,5,4,3,328,61951,0.5364422798156738,58,7
m6_n5_s3_k1_loss0.4_a0.001_b0.2.B,6,5,4,3,328,61951,0.5068497657775879,58,7
m6_n5_s4_k1_loss0.1_a0.001_b0.2.B,6,5,3,3,322,61934,0.4659004211425781,69,4
m6_n5_s4_k1_loss0.2_a0.001_b0.2.B,6,5,3,3,322,61934,0.5234425067901611,69,4
m6_n5_s4_k1_loss0.4_a0.001_b0.2.B,6,5,3,3,322,61934,0.4702174663543701,69,4
m6_n5_s5_k1_loss0.1_a0.001_b0.2.B,6,5,5,5,283,61887,0.5381772518157959,46,13
m6_n5_s5_k1_loss0.2_a0.001_b0.2.B,6,5,5,5,283,61887,0.44183993339538574,46,13
m6_n5_s5_k1_loss0.4_a0.001_b0.2.B,6,5,5,5,283,61887,0.46677398681640625,46,13
m6_n5_s6_k1_loss0.1_a0.001_b0.2.B,6,5,3,3,327,61948,0.42815685272216797,86,4
m6_n5_s6_k1_loss0.2_a0.001_b0.2.B,6,5,3,3,327,61948,0.42058491706848145,86,4
m6_n5_s6_k1_loss0.4_a0.001_b0.2.B,6,5,3,3,327,61948,0.4253261089324951,86,4
m6_n5_s7_k1_loss0.1_a0.001_b0.2.B,6,5,4,4,305,61917,0.42148303985595703,72,6
m6_n5_s7_k1_loss0.2_a0.001_b0.2.B,6,5,4,4,305,61917,0.42582225799560547,72,6
m6_n5_s7_k1_loss0.4_a0.001_b0.2.B,6,5,4,4,305,61917,0.42134737968444824,72,6
m6_n5_s8_k1_loss0.1_a0.001_b0.2.B,6,5,4,3,325,61944,0.42348694801330566,62,5
m6_n5_s8_k1_loss0.2_a0.001_b0.2.B,6,5,4,3,325,61944,0.4258112907409668,62,5
m6_n5_s8_k1_loss0.4_a0.001_b0.2.B,6,5,4,3,325,61944,0.4235870838165283,62,5
m6_n5_s9_k1_loss0.1_a0.001_b0.2.B,6,5,4,3,343,61999,0.4311540126800537,72,11
m6_n5_s9_k1_loss0.2_a0.001_b0.2.B,6,5,4,3,343,61999,0.4151589870452881,72,11
m6_n5_s9_k1_loss0.4_a0.001_b0.2.B,6,5,4,3,343,61999,0.39357519149780273,72,11
m7_n5_s10_k1_loss0.1_a0.001_b0.2.B,7,5,5,4,366,107423,0.6294057369232178,62,11
m7_n5_s10_k1_loss0.2_a0.001_b0.2.B,7,5,5,4,366,107423,0.6309783458709717,62,11
m7_n5_s10_k1_loss0.4_a0.001_b0.2.B,7,5,5,4,374,107444,0.6366968154907227,49,10
m7_n5_s1_k1_loss0.1_a0.001_b0.2.B,7,5,5,4,389,107492,0.6304740905761719,48,15
m7_n5_s1_k1_loss0.2_a0.001_b0.2.B,7,5,5,4,389,107492,0.630359411239624,48,15
m7_n5_s1_k1_loss0.4_a0.001_b0.2.B,7,5,5,4,389,107492,0.6308574676513672,48,15
m7_n5_s2_k1_loss0.1_a0.001_b0.2.B,7,5,3,3,394,107471,0.6550145149230957,65,3
m7_n5_s2_k1_loss0.2_a0.001_b0.2.B,7,5,3,3,409,107519,0.6511003971099854,48,6
m7_n5_s2_k1_loss0.4_a0.001_b0.2.B,7,5,3,3,409,107519,0.6442370414733887,48,6
m7_n5_s3_k1_loss0.1_a0.001_b0.2.B,7,5,3,3,394,107471,0.6324832439422607,57,2
m7_n5_s3_k1_loss0.2_a0.001_b0.2.B,7,5,3,3,394,107471,0.6386392116546631,57,2
m7_n5_s3_k1_loss0.4_a0.001_b0.2.B,7,5,3,3,394,107471,0.6483325958251953,57,2
m7_n5_s4_k1_loss0.1_a0.001_b0.2.B,7,5,4,4,399,107517,0.6552050113677979,74,9
m7_n5_s4_k1_loss0.2_a0.001_b0.2.B,7,5,4,4,399,107517,0.6498157978057861,74,9
m7_n5_s4_k1_loss0.4_a0.001_b0.2.B,7,5,4,4,399,107517,0.6401212215423584,74,9
m7_n5_s5_k1_loss0.1_a0.001_b0.2.B,7,5,5,4,395,107509,0.6652166843414307,62,12
