filename,m,n,num_cell_clusters,num_mutation_clusters,num_variables,num_clauses,formula_gen_time,unigen_time,num_samples
m5_n7_s4_k1_loss0.4_a0.001_b0.2.B,5,7,4,6,410,65577,0.589754581451416,59.68752098083496,108
m5_n5_s9_k1_loss0.2_a0.001_b0.2.B,5,5,4,4,229,31465,0.23698949813842773,15.75780177116394,108
m5_n6_s7_k1_loss0.4_a0.001_b0.2.B,5,6,4,5,337,47030,0.33959174156188965,210.709965467453,108
m5_n6_s3_k1_loss0.4_a0.001_b0.2.B,5,6,4,5,337,47030,0.3780241012573242,42.20395112037659,108
m5_n6_s4_k1_loss0.1_a0.001_b0.2.B,5,6,4,5,333,47020,0.4952380657196045,39.033711433410645,108
m5_n5_s2_k1_loss0.2_a0.001_b0.2.B,5,5,4,4,227,31453,0.3136937618255615,10.928225994110107,107
m5_n5_s3_k1_loss0.2_a0.001_b0.2.B,5,5,4,4,229,31459,0.33393216133117676,14.425281524658203,108
m5_n5_s1_k1_loss0.2_a0.001_b0.2.B,5,5,4,4,237,31485,0.29535794258117676,21.578601360321045,108
m5_n6_s8_k1_loss0.2_a0.001_b0.2.B,5,6,4,5,313,46968,0.43209028244018555,30.41467046737671,108
m5_n6_s3_k1_loss0.2_a0.001_b0.2.B,5,6,4,5,337,47030,0.4018094539642334,40.26581954956055,108
m5_n6_s5_k1_loss0.2_a0.001_b0.2.B,5,6,4,5,309,46958,0.40467166900634766,32.561437368392944,108
m5_n5_s10_k1_loss0.2_a0.001_b0.2.B,5,5,4,4,229,31465,0.286968469619751,19.75737762451172,108
m5_n6_s6_k1_loss0.4_a0.001_b0.2.B,5,6,4,5,338,47039,0.40169405937194824,339.89883279800415,108
m5_n7_s2_k1_loss0.1_a0.001_b0.2.B,5,7,4,6,362,65462,0.5671074390411377,23.835761547088623,108
m5_n5_s8_k1_loss0.1_a0.001_b0.2.B,5,5,4,4,229,31465,0.27245020866394043,10.899530410766602,106
m5_n6_s2_k1_loss0.4_a0.001_b0.2.B,5,6,4,5,324,46999,0.45129823684692383,41.93157148361206,107
m5_n6_s1_k1_loss0.2_a0.001_b0.2.B,5,6,4,5,333,47020,0.39420604705810547,29.829159021377563,108
