,filename,rows,columns,time,clauses,total_samples
9,m5_n5_s3.txt,5,5,0.006602048873901367,864,89
28,m5_n5_s2.txt,5,5,0.011831045150756836,360,88
46,m5_n5_s20.txt,5,5,0.007132053375244141,1020,358
59,m5_n5_s1.txt,5,5,0.007248878479003906,1200,1600
75,m5_n5_s5.txt,5,5,0.006515026092529297,816,886
81,m5_n5_s19.txt,5,5,0.008163928985595703,1020,386
86,m5_n5_s18.txt,5,5,0.00736689567565918,1200,1222
92,m5_n5_s4.txt,5,5,0.011509895324707031,880,230
106,m5_n5_s6.txt,5,5,0.007064104080200195,1020,299
124,m5_n5_s7.txt,5,5,0.007860183715820312,1020,358
366,m5_n5_s16.txt,5,5,0.007026910781860352,816,732
379,m5_n5_s17.txt,5,5,0.010071039199829102,576,72
400,m5_n5_s9.txt,5,5,0.006966114044189453,816,242
406,m5_n5_s15.txt,5,5,0.008061885833740234,1200,1810
416,m5_n5_s14.txt,5,5,0.005474090576171875,516,73
421,m5_n5_s8.txt,5,5,0.008426904678344727,700,82
438,m5_n5_s10.txt,5,5,0.007968902587890625,816,242
450,m5_n5_s11.txt,5,5,0.006470918655395508,692,104
471,m5_n5_s13.txt,5,5,0.007426023483276367,1200,1810
487,m5_n5_s12.txt,5,5,0.007460832595825195,960,286
