file,num_variables,num_solutions
data/5x5/m5_n5_s1.txt,20,1600
data/5x5/m5_n5_s10.txt,17,242
data/5x5/m5_n5_s100.txt,15,104
data/5x5/m5_n5_s101.txt,20,1468
data/5x5/m5_n5_s102.txt,17,170
data/5x5/m5_n5_s103.txt,17,236
data/5x5/m5_n5_s104.txt,20,1600
data/5x5/m5_n5_s105.txt,17,788
data/5x5/m5_n5_s106.txt,15,168
data/5x5/m5_n5_s107.txt,17,350
data/5x5/m5_n5_s108.txt,17,514
data/5x5/m5_n5_s109.txt,13,74
data/5x5/m5_n5_s11.txt,15,104
data/5x5/m5_n5_s110.txt,11,145
data/5x5/m5_n5_s111.txt,18,196
data/5x5/m5_n5_s112.txt,19,542
data/5x5/m5_n5_s113.txt,18,424
data/5x5/m5_n5_s114.txt,18,226
data/5x5/m5_n5_s115.txt,16,294
data/5x5/m5_n5_s116.txt,15,114
data/5x5/m5_n5_s117.txt,14,82
data/5x5/m5_n5_s118.txt,14,282
data/5x5/m5_n5_s119.txt,19,338
data/5x5/m5_n5_s12.txt,18,286
data/5x5/m5_n5_s120.txt,13,85
data/5x5/m5_n5_s121.txt,16,240
data/5x5/m5_n5_s122.txt,18,326
data/5x5/m5_n5_s123.txt,16,208
data/5x5/m5_n5_s124.txt,14,104
data/5x5/m5_n5_s125.txt,18,392
data/5x5/m5_n5_s126.txt,15,94
data/5x5/m5_n5_s127.txt,16,102
data/5x5/m5_n5_s128.txt,16,94
data/5x5/m5_n5_s129.txt,13,80
data/5x5/m5_n5_s13.txt,20,1810
data/5x5/m5_n5_s130.txt,16,260
data/5x5/m5_n5_s131.txt,20,1600
data/5x5/m5_n5_s132.txt,17,518
data/5x5/m5_n5_s133.txt,14,283
data/5x5/m5_n5_s134.txt,11,194
data/5x5/m5_n5_s135.txt,14,104
data/5x5/m5_n5_s136.txt,16,217
data/5x5/m5_n5_s137.txt,8,46
data/5x5/m5_n5_s138.txt,15,77
data/5x5/m5_n5_s139.txt,17,542
data/5x5/m5_n5_s14.txt,13,73
data/5x5/m5_n5_s140.txt,14,130
data/5x5/m5_n5_s141.txt,11,152
data/5x5/m5_n5_s142.txt,17,162
data/5x5/m5_n5_s143.txt,20,1600
data/5x5/m5_n5_s144.txt,14,130
data/5x5/m5_n5_s145.txt,20,1810
data/5x5/m5_n5_s146.txt,17,514
data/5x5/m5_n5_s147.txt,17,350
data/5x5/m5_n5_s148.txt,16,146
data/5x5/m5_n5_s149.txt,17,86
data/5x5/m5_n5_s15.txt,20,1810
data/5x5/m5_n5_s150.txt,12,64
data/5x5/m5_n5_s151.txt,17,514
data/5x5/m5_n5_s152.txt,18,424
data/5x5/m5_n5_s153.txt,15,146
data/5x5/m5_n5_s154.txt,17,148
data/5x5/m5_n5_s155.txt,20,1222
data/5x5/m5_n5_s156.txt,19,500
data/5x5/m5_n5_s157.txt,16,194
data/5x5/m5_n5_s158.txt,16,240
data/5x5/m5_n5_s159.txt,17,148
data/5x5/m5_n5_s16.txt,17,732
data/5x5/m5_n5_s160.txt,14,104
data/5x5/m5_n5_s161.txt,18,226
data/5x5/m5_n5_s162.txt,14,122
data/5x5/m5_n5_s163.txt,12,64
data/5x5/m5_n5_s164.txt,15,130
data/5x5/m5_n5_s165.txt,20,1222
data/5x5/m5_n5_s166.txt,19,444
data/5x5/m5_n5_s167.txt,16,146
data/5x5/m5_n5_s168.txt,18,314
data/5x5/m5_n5_s169.txt,18,424
data/5x5/m5_n5_s17.txt,14,72
data/5x5/m5_n5_s170.txt,17,286
data/5x5/m5_n5_s171.txt,11,60
data/5x5/m5_n5_s172.txt,16,232
data/5x5/m5_n5_s173.txt,17,514
data/5x5/m5_n5_s174.txt,18,286
data/5x5/m5_n5_s175.txt,18,170
data/5x5/m5_n5_s176.txt,18,205
data/5x5/m5_n5_s177.txt,14,104
data/5x5/m5_n5_s178.txt,18,238
data/5x5/m5_n5_s179.txt,14,82
data/5x5/m5_n5_s18.txt,20,1222
data/5x5/m5_n5_s180.txt,16,240
data/5x5/m5_n5_s181.txt,14,72
data/5x5/m5_n5_s182.txt,12,58
data/5x5/m5_n5_s183.txt,13,104
data/5x5/m5_n5_s184.txt,18,294
data/5x5/m5_n5_s185.txt,17,654
data/5x5/m5_n5_s186.txt,17,380
data/5x5/m5_n5_s187.txt,15,122
data/5x5/m5_n5_s188.txt,19,464
data/5x5/m5_n5_s189.txt,15,122
data/5x5/m5_n5_s19.txt,18,386
data/5x5/m5_n5_s190.txt,16,232
data/5x5/m5_n5_s191.txt,12,172
data/5x5/m5_n5_s192.txt,18,376
data/5x5/m5_n5_s193.txt,18,226
